transform,pair_number,pair_label,point_index,pt2d_u,pt2d_v,pt3d_x,pt3d_y,pt3d_z,reproj_u,reproj_v,error_px
2k_manual_50_wC,1,Pair 1,1,582,940,-1.755182266,2.979001284,0.215976402,564.083019,940.773254,17.9336591
2k_manual_50_wC,2,Pair 2,1,2184,1554,0.339720845,2.979321241,-0.568287313,2199.948363,1557.802218,16.39533923
2k_manual_50_wC,2,Pair 2,2,2700,1659,0.839911044,2.547699451,-0.560356319,2718.800738,1651.65962,20.1828875
2k_manual_50_wC,2,Pair 2,3,2324,910,1.248814464,6.729531288,0.425969362,2356.336399,935.4377756,41.14271699
2k_manual_50_wC,2,Pair 2,4,3366,882,2.961307287,4.877955914,0.473424524,3361.409484,869.3821273,13.42697102
2k_manual_50_wC,2,Pair 2,5,3642,1389,3.345664024,4.522165298,-0.513964236,3624.234699,1359.263963,34.63867464
2k_manual_50_wC,3,Pair 3,1,1844,659,-0.236853689,5.42579174,0.919816792,1834.746667,699.4836878,41.52773962
2k_manual_50_wC,3,Pair 3,2,1630,651,-0.748585224,5.496043682,0.952216387,1623.814122,689.2235483,38.72085655
2k_manual_50_wC,3,Pair 3,3,2544,1317,1.440101624,5.284475803,-0.486821651,2562.31459,1301.455911,24.0217175
2k_manual_50_wC,3,Pair 3,4,560,809,-3.291623354,5.532059669,0.614684761,560.3728294,822.0133059,13.01864557
2k_manual_50_wC,3,Pair 3,5,3042,880,2.51827383,5.789002419,0.433385998,2952.9252,913.2207992,95.06808829
2k_manual_50_wC,3,Pair 3,6,176,1593,-1.804683089,2.351196527,-0.466822505,202.6263624,1570.459256,34.88621924
2k_manual_50_wC,3,Pair 3,7,794,1644,-1.139853597,2.285421848,-0.487943113,766.2283761,1632.03853,30.23805315
2k_manual_50_wC,4,Pair 4,1,1956,1135,0.0984006,7.439972878,-0.182890698,1960.104098,1130.097312,6.393744464
2k_manual_50_wC,4,Pair 4,2,2458,1252,1.324606538,5.617760181,-0.417129189,2474.494959,1256.650476,17.13798722
2k_manual_50_wC,4,Pair 4,3,1670,1254,-0.832940519,7.599716663,-0.583759129,1681.884152,1245.885961,14.38995069
2k_manual_50_wC,5,Pair 5,1,426,1075,-4.210912704,6.421913624,0.032969084,427.0061583,1060.15561,14.87844982
2k_manual_50_wC,5,Pair 5,2,788,1259,-2.78150773,5.639833927,-0.416887105,793.2012231,1248.239387,11.95171588
2k_manual_50_wC,5,Pair 5,3,2292,841,0.851138175,5.075316429,0.557216346,2318.756703,838.2390083,26.89877715
2k_manual_50_wC,6,Pair 6,1,1792,1520,-0.321248889,5.65302372,-1.037139654,1800.629705,1499.10282,22.60893525
2k_manual_50_wC,7,Pair 7,1,802,918,-2.120479822,4.25227499,0.313069612,779.1222109,919.6579003,22.93778255
2k_manual_50_wC,7,Pair 7,2,1782,762,-0.284796208,4.064594269,0.546786547,1775.847198,790.2876946,28.94910427
2k_manual_50_wC,7,Pair 7,3,1172,1691,-1.706127405,5.248156071,-1.32160008,1180.613481,1661.404864,30.82311046
2k_manual_50_wC,7,Pair 7,4,2464,1880,1.658795834,7.047649384,-2.31817174,2474.663924,1840.517495,40.89727918
2k_manual_50_wC,8,Pair 8,1,1154,1000,-1.608715057,4.739255428,0.172281846,1154.555211,1003.234705,3.282008358
2k_manual_50_wC,8,Pair 8,2,2488,848,1.105546713,4.59732008,0.447523475,2490.533053,870.2123291,22.35629489
2k_manual_50_wC,8,Pair 8,3,1746,1434,-0.408514798,5.488359928,-0.837456763,1761.207994,1429.302059,15.91708891
2k_manual_50_wC,8,Pair 8,4,2098,1610,0.41337952,5.249324322,-1.17806983,2111.03091,1600.242124,16.27945859
2k_manual_50_wC,9,Pair 9,1,1278,754,-1.087295294,3.7899189,0.542724371,1276.324399,769.0850175,15.1777927
2k_manual_50_wC,9,Pair 9,2,3520,584,2.60321784,3.859048605,0.885790586,3504.472087,576.504837,17.24220244
2k_manual_50_wC,10,Pair 10,1,2346,728,0.688269556,3.995275021,0.595692754,2333.692512,757.4024607,31.87442481
2k_manual_50_wC,10,Pair 10,2,2962,786,1.921008348,4.413971901,0.573340476,2960.354609,794.5418826,8.69891196
2k_manual_50_wC,11,Pair 11,1,2166,655,0.354987949,3.6798563,0.697741508,2159.550336,668.364536,14.83944038
2k_manual_50_wC,11,Pair 11,2,1924,1387,0.000588383,4.890031338,-0.643030643,1931.730023,1387.111507,7.730827335
2k_manual_50_wC,11,Pair 11,3,2790,1496,1.470973015,3.937247753,-0.619974971,2811.156531,1472.471736,31.64139656
2k_manual_50_wC,12,Pair 12,1,916,1066,-2.175082684,5.001438141,0.067221306,930.2496025,1052.391273,19.70402554
2k_manual_50_wC,12,Pair 12,2,2732,743,1.40160656,4.12398386,0.615472317,2731.924345,753.0680795,10.06836374
2k_manual_50_wC,12,Pair 12,3,2374,1644,1.260709286,6.196139812,-1.417255521,2399.185817,1608.821373,43.2650109
2k_manual_50_wC,14,Pair 14,1,3112,1252,1.440896749,2.889297724,-0.16578339,3123.793264,1260.927694,14.79137548
