1,pair_number,pair_label,point_index,pt2d_u,pt2d_v,pt3d_x,pt3d_y,pt3d_z,reproj_u,reproj_v,error_px
2k_Matlab,1,Pair 1,1,1060,348,0.644281268,8.177530289,1.35458672,1059.319212,343.1474162,4.900106274
2k_Matlab,1,Pair 1,2,1047,658,0.41730091,5.614927769,-0.56500572,1048.555704,671.3861802,13.47627675
2k_Matlab,1,Pair 1,3,707,335,-1.409311652,6.100589752,1.052605152,688.4191102,335.190933,18.58187078
2k_Matlab,1,Pair 1,4,984,904,0.022453083,1.686300993,-0.459020048,992.5609113,901.0753866,9.046688119
2k_Matlab,1,Pair 1,5,1716,757,2.366709709,3.7164886,-0.58923769,1721.193697,768.9063231,12.98980437
2k_Matlab,2,Pair 2,1,1177,514,0.525034308,2.828646421,0.0989649,1184.585536,541.3154869,28.34918299
2k_Matlab,2,Pair 2,2,936,507,-0.07467816,2.805514336,0.108223192,943.2785878,532.4910103,26.50979908
2k_Matlab,2,Pair 2,3,925,685,-0.096847892,2.750538349,-0.302333862,930.3993012,700.5964389,16.50458604
2k_Matlab,2,Pair 2,4,1181,695,0.514666975,2.708992958,-0.297373027,1186.605744,707.8083735,13.98137324
2k_Matlab,2,Pair 2,5,882,372,-0.510918498,7.270203114,1.000199914,879.2698514,376.8892194,5.599837325
2k_Matlab,2,Pair 2,6,1104,430,0.973343909,7.894141674,0.742744267,1111.301394,431.7770827,7.514544315
2k_Matlab,2,Pair 2,7,481,289,-2.231410027,5.250240326,1.141669035,455.2697404,279.4275498,27.45319763
2k_Matlab,3,Pair 3,1,1554,602,2.169694424,4.348338604,-0.15495187,1566.018777,614.5735567,17.39382997
2k_Matlab,3,Pair 3,2,1384,590,1.565057993,4.420692444,-0.122775726,1387.81227,600.1877224,10.87764188
2k_Matlab,3,Pair 3,3,1378,712,1.548813105,4.378613472,-0.550698757,1385.395179,717.2979685,9.097094937
2k_Matlab,3,Pair 3,4,1548,721,2.15353775,4.317194939,-0.564489305,1563.277541,728.9075372,17.20268565
2k_Matlab,4,Pair 4,1,1522,598,2.128122807,4.506841183,-0.143206581,1533.987571,608.0058164,15.61467954
2k_Matlab,4,Pair 4,2,1394,591,1.574003935,4.320743084,-0.111110955,1400.134628,598.8072075,9.929056066
2k_Matlab,4,Pair 4,3,1393,714,1.581758618,4.293738842,-0.532387614,1403.12562,716.2413976,10.37072968
2k_Matlab,4,Pair 4,4,1522,717,2.134858847,4.473426819,-0.562333286,1537.783607,721.2528248,16.34652123
2k_Matlab,4,Pair 4,5,1745,724,3.196326017,4.741240501,-0.621527731,1773.408179,730.5195166,29.14667596
2k_Matlab,5,Pair 5,1,1290,584,1.438877106,5.1793046,-0.136691839,1295.886845,591.3939813,9.451238327
2k_Matlab,5,Pair 5,2,1157,573,0.872162819,5.069969177,-0.092112206,1167.633667,579.0854518,12.25184033
2k_Matlab,5,Pair 5,3,1290,682,1.424885988,5.146717072,-0.564948678,1293.010641,691.2755635,9.751924796
2k_Matlab,5,Pair 5,4,1156,674,0.847511411,5.074458122,-0.497062236,1159.91089,673.5242346,3.939722064
2k_Matlab,6,Pair 6,1,1128,573,0.789323032,5.42399168,-0.119304411,1135.655028,580.9606447,11.04406265
2k_Matlab,6,Pair 6,2,1001,562,0.168054953,5.537057877,-0.069137663,998.4412283,566.0049677,4.752586566
2k_Matlab,6,Pair 6,3,993,651,0.143021345,5.502000332,-0.478945971,991.4992868,654.3025504,3.627530794
2k_Matlab,6,Pair 6,4,1121,665,0.756538332,5.381266117,-0.519747257,1128.115055,669.6292665,8.488469752
2k_Matlab,6,Pair 6,5,400,685,-1.662195802,3.40576911,-0.358266354,393.7460312,679.3026359,8.460028567
2k_Matlab,7,Pair 7,1,967,559,0.02161487,4.847380161,-0.067640975,969.1305496,570.9180055,12.10694416
2k_Matlab,7,Pair 7,2,829,550,-0.607072353,4.94166708,-0.043250546,818.9493034,561.0586021,14.94353316
2k_Matlab,7,Pair 7,3,962,665,0.002564476,4.872560978,-0.465800941,962.4134209,666.653055,1.703968166
2k_Matlab,7,Pair 7,4,821,659,-0.625349879,4.897645473,-0.451493651,811.0939772,659.441083,9.915837972
2k_Matlab,8,Pair 8,1,815,551,-0.56484884,4.293528557,-0.019107917,811.8022837,560.4341966,9.961398216
2k_Matlab,8,Pair 8,2,653,541,-1.196886659,4.310802937,-0.003844097,638.6634945,552.6761655,18.48967905
2k_Matlab,8,Pair 8,3,647,661,-1.191316247,4.225700378,-0.398281366,631.4786518,663.0010186,15.64980268
2k_Matlab,8,Pair 8,4,805,672,-0.582899034,4.288036346,-0.433390558,804.0010455,673.2694768,1.615388938
2k_Matlab,9,Pair 9,1,677,545,-1.020405769,4.015432835,0.008444885,669.2812681,552.3435537,10.65394773
2k_Matlab,9,Pair 9,2,491,535,-1.584828973,3.82520628,0.053966731,479.4013367,536.3712915,11.67944482
2k_Matlab,9,Pair 9,3,479,673,-1.587715626,3.783632994,-0.366909027,470.3559546,667.3194067,10.34353232
2k_Matlab,9,Pair 9,4,671,678,-1.038771152,4.012162685,-0.406148463,660.5657347,673.1158466,11.52080063
2k_Matlab,10,Pair 10,1,510,538,-1.393873453,3.538686991,0.055015773,508.0969187,538.5272005,1.974755409
2k_Matlab,10,Pair 10,2,301,526,-1.995245218,3.454949141,0.100693762,289.118841,519.1010732,13.73889116
2k_Matlab,10,Pair 10,3,286,680,-2.010130644,3.412713528,-0.337880194,273.3724037,669.834547,16.21087977
2k_Matlab,10,Pair 10,4,498,687,-1.426668763,3.52849865,-0.377753794,492.1408787,681.6948666,7.904033373
2k_Matlab,11,Pair 11,1,1338,826,1.173133373,3.666062593,-0.793741107,1340.821672,828.1521963,3.548771918
2k_Matlab,11,Pair 11,2,1140,804,0.583477318,3.787935257,-0.781006396,1143.048915,808.2377657,5.220588224
2k_Matlab,11,Pair 11,3,1131,947,0.563111663,3.766828537,-1.215848684,1136.077742,947.1412901,5.079707087
2k_Matlab,11,Pair 11,4,1330,973,1.157888412,3.618514299,-1.222074389,1339.191774,972.7657696,9.19475831
2k_Matlab,12,Pair 12,1,1124,744,0.719046295,4.959563732,-0.805146515,1132.366841,749.9981169,10.29472818
2k_Matlab,12,Pair 12,2,992,739,0.125852913,4.774870396,-0.772687078,991.5490345,746.2433399,7.257364732
2k_Matlab,12,Pair 12,3,986,853,0.103377804,4.724350452,-1.20206964,984.2495115,857.1469904,4.501304194
2k_Matlab,12,Pair 12,4,1121,853,0.693334997,4.934185505,-1.247586966,1125.621481,858.7572306,7.382668405
2k_Matlab,13,Pair 13,1,1329,927,0.840417683,2.665266752,-0.774264157,1329.899625,921.5106147,5.562614171
2k_Matlab,13,Pair 13,2,1080,873,0.279837459,2.90625453,-0.75943017,1076.215499,876.7458761,5.324850944
2k_Matlab,13,Pair 13,3,1057,1066,0.23549521,2.832612276,-1.180762529,1058.59753,1059.347076,6.842039421
2k_Matlab,14,Pair 14,1,1477,541,1.214520335,2.824749708,0.063695192,1471.76519,562.0593734,21.70024069
2k_Matlab,14,Pair 14,2,1216,524,0.644572496,3.027292728,0.089092061,1216.324254,544.8119739,20.81449974
2k_Matlab,14,Pair 14,3,1207,698,0.614379764,2.955450058,-0.343248039,1207.429178,712.4214037,14.42778843
2k_Matlab,14,Pair 14,4,1470,726,1.192061186,2.809343576,-0.360411644,1461.692349,736.4669034,13.36312599
2k_Matlab,15,Pair 15,1,1151,513,0.388175249,2.445595026,0.101069145,1153.997844,541.8516433,29.00697148
2k_Matlab,15,Pair 15,2,870,498,-0.212956175,2.435207605,0.130796671,879.147444,522.4363309,26.09233601
2k_Matlab,15,Pair 15,3,856,702,-0.241929248,2.398650885,-0.298250467,860.1620887,720.9675698,19.41884871
