transform,pair_number,pair_label,point_index,pt2d_u,pt2d_v,pt3d_x,pt3d_y,pt3d_z,reproj_u,reproj_v,error_px
2k_Matlab,1,Pair 1,1,582,940,-1.755182266,2.979001284,0.215976402,574.9593426,951.8964063,13.82372379
2k_Matlab,2,Pair 2,1,2184,1554,0.339720845,2.979321241,-0.568287313,2195.217071,1589.566575,37.29348422
2k_Matlab,2,Pair 2,2,2700,1659,0.839911044,2.547699451,-0.560356319,2693.331444,1683.298335,25.19679973
2k_Matlab,2,Pair 2,3,2324,910,1.248814464,6.729531288,0.425969362,2372.788495,948.647261,62.24088719
2k_Matlab,2,Pair 2,4,3366,882,2.961307287,4.877955914,0.473424524,3408.969299,906.7920669,49.60853965
2k_Matlab,2,Pair 2,5,3642,1389,3.345664024,4.522165298,-0.513964236,3685.970658,1421.603232,54.73928641
2k_Matlab,3,Pair 3,1,1844,659,-0.236853689,5.42579174,0.919816792,1830.950087,698.3091084,41.41867021
2k_Matlab,3,Pair 3,2,1630,651,-0.748585224,5.496043682,0.952216387,1610.031576,683.0344564,37.74843521
2k_Matlab,3,Pair 3,3,2544,1317,1.440101624,5.284475803,-0.486821651,2576.342985,1338.679881,38.93694757
2k_Matlab,3,Pair 3,4,560,809,-3.291623354,5.532059669,0.614684761,484.7001686,801.8516639,75.63837202
2k_Matlab,3,Pair 3,5,3042,880,2.51827383,5.789002419,0.433385998,2991.243354,940.2832316,78.80548943
2k_Matlab,3,Pair 3,6,176,1593,-1.804683089,2.351196527,-0.466822505,217.0134558,1581.971976,42.47023522
2k_Matlab,3,Pair 3,7,794,1644,-1.139853597,2.285421848,-0.487943113,815.9209495,1635.6129,23.47065144
2k_Matlab,4,Pair 4,1,1956,1135,0.0984006,7.439972878,-0.182890698,1950.661473,1145.903843,12.14057958
2k_Matlab,4,Pair 4,2,2458,1252,1.324606538,5.617760181,-0.417129189,2487.712503,1290.370139,48.52937689
2k_Matlab,4,Pair 4,3,1670,1254,-0.832940519,7.599716663,-0.583759129,1652.011659,1264.227885,20.69275341
2k_Matlab,5,Pair 5,1,426,1075,-4.210912704,6.421913624,0.032969084,321.1626465,1047.292927,108.4368599
2k_Matlab,5,Pair 5,2,788,1259,-2.78150773,5.639833927,-0.416887105,724.5124421,1254.271122,63.66342981
2k_Matlab,5,Pair 5,3,2292,841,0.851138175,5.075316429,0.557216346,2332.108324,854.7662471,42.40503769
2k_Matlab,6,Pair 6,1,1792,1520,-0.321248889,5.65302372,-1.037139654,1780.354759,1533.363828,17.72578735
2k_Matlab,7,Pair 7,1,802,918,-2.120479822,4.25227499,0.313069612,744.8328214,918.3392175,57.16818505
2k_Matlab,7,Pair 7,2,1782,762,-0.284796208,4.064594269,0.546786547,1776.300449,804.8500607,43.2274517
2k_Matlab,7,Pair 7,3,1172,1691,-1.706127405,5.248156071,-1.32160008,1131.567093,1692.557124,40.46287909
2k_Matlab,7,Pair 7,4,2464,1880,1.658795834,7.047649384,-2.31817174,2481.205204,1905.137577,30.46172749
2k_Matlab,8,Pair 8,1,1154,1000,-1.608715057,4.739255428,0.172281846,1123.010648,1007.506607,31.88556253
2k_Matlab,8,Pair 8,2,2488,848,1.105546713,4.59732008,0.447523475,2506.345815,894.8212153,50.28712689
2k_Matlab,8,Pair 8,3,1746,1434,-0.408514798,5.488359928,-0.837456763,1741.035419,1459.596879,26.07388153
2k_Matlab,8,Pair 8,4,2098,1610,0.41337952,5.249324322,-1.17806983,2103.498902,1642.32409,32.78848462
2k_Matlab,9,Pair 9,1,1278,754,-1.087295294,3.7899189,0.542724371,1270.655039,778.441958,25.52171166
2k_Matlab,9,Pair 9,2,3520,584,2.60321784,3.859048605,0.885790586,3551.93508,616.7779044,45.76287093
